Table,Abbreviation,Description,Module,Activity code,TablesMappedToModelOnly,TablesMappedToSubModel,linkedTablewithDescription
INVDACPAR,IDP,BP invoice entry settings,A/P-A/R accounting,,,,COMPANY  (Company  )
INVENTD,INVD,Counts,Stock,KPO,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  )"
INVENTH,INV,Counts,Stock,KPO,,,COMPANY  (Company  )
INVNUMSPA,ISP,Source document,Financials,KSP,,,
INVOPE,IOP,Asset count operation,Fixed Assets,,,,
INVPAR,IPA,Dictionary symbol PDT3100,Fixed Assets,,,,
INVPCR,IPC,Reconciliation criteria,Fixed Assets,,,,
INVPRB,IPB,Asset sections to be loaded,Fixed Assets,,,,
INVPRI,IPI,Asset count sections,Fixed Assets,,,,
INVSTA,IVY,Asset count notes,Fixed Assets,,,,
ITCDETPRT,ICP,Temporary products - cost,Common Data,,,,"FACILITY  (Sites  ) , ITMMASTER  (Products  ) , ITMFACILIT  (Products-sites  )"
ITCMAT,ICC,Temporary products - cost,Common Data,,Manufacturing,Standard Cost Calculation,"FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , ITMFACILIT  (Products-sites  )"
ITCMATCH,IMC,Cost comparison,Common Data,,,,"FACILITY  (Sites  ) , ITMMASTER  (Products  )"
ITCNAT,ICN,Nature detail - costs,Common Data,,Manufacturing,Standard Cost Calculation,"FACILITY  (Sites  ) , ITMFACILIT  (Products-sites  ) , OVENAT  (Overhead category  )"
ITCWST,IWC,Temporary products - cost,Common Data,,Manufacturing,Standard Cost Calculation,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , ITMFACILIT  (Products-sites  )"
ITCWSTW,IWW,Temporary products - cost,Common Data,,,,"FACILITY  (Sites  ) , ITMMASTER  (Products  ) , ITMFACILIT  (Products-sites  )"
ITMABCWRK,ITK,ABC Class calculation,Stock,,Common data,Item,"FACILITY  (Sites  ) , ITMMASTER  (Products  )"
ITMACGGRP,ITA,Product,Fixed Assets,,,,
ITMBOM,ITB,Products - BOMs,Common Data,,"Common data,Manufacturing","Item,Master Planning Schedule",ITMMASTER  (Products  )
ITMBOMCFG,CFB,Products - BOMs,Common Data,CFG,,,"ITMMASTER  (Products  ) , TABBOMALT  (BOM codes  )"
ITMBPC,ITU,Customer product,Common Data,,"Common data,Sales","Item,Quotation","BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , TABPACKAGE  (Packaging table  )"
ITMBPS,ITP,Supplier product,Common Data,,"Common data,Purchasing","Item,Request For Quotations,Normal Purchase Orders","BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , MATCHTOL  (Matching tolerance  ) , TABBOMALT  (BOM codes  ) , QLYCRD  (Technical sheets  )"
MTCBATCH,MTB,Batch matching,Financials,,,,COMPANY  (Company  )
ITMCOST,ITC,Products-costs,Common Data,,"Common data,Manufacturing","Item,Production Cost Calculation,Standard Cost Calculation","FACILITY  (Sites  ) , TABBOMALT  (BOM codes  ) , ITMFACILIT  (Products-sites  ) , TABROUALT  (BOM routings  )"
ITMCPPLNK,ILK,Competitor/product link,Common Data,,,,"ITMMASTER  (Products  ) , ITMCOMP  (Competitor products  )"
ITMCPTVER,ICV,Version counter setup,Common Data,ECC,,,
ITMCUSNOM,INO,EU commodity code,Common Data,,,,ITMCUSNOM  (EU commodity code  )
ITMMVT,ITV,Product-site totals,Common Data,,Common data,Item,"FACILITY  (Sites  ) , ITMFACILIT  (Products-sites  )"
ITMMVTHIS,ITH,Total product - site history,Common Data,,"Common data,Stock","Item,Stock","FACILITY  (Sites  ) , ITMMASTER  (Products  )"
ITMSALES,ITS,Products - sales,Common Data,,"Common data,Sales","Item,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice,Sales Returns","ITMMASTER  (Products  ) , TABPACKAGE  (Packaging table  ) , TABINVCND  (  )"
ITMWRH,ITW,Products-warehouses,Common Data,WRH,,,"FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , ITMMASTER  (Products  )"
KCOEF,KCO,Impairment loss coefficients,Fixed Assets,KPO,,,
KPYIMPDTL,KPD,Sage 50/Murano payroll detail,Financials,KUK,,,"CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GLED  (Ledger  ) , CADSP  (Analytical allocations  )"
KPYIMPTRAN,KPT,Sage 50 import transcribe,Financials,KUK,,,"FACILITY  (Sites  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , GTYPACCENT  (Document types  ) , CACCEDEF  (Default dimensions  ) , GAUTACE  (Automatic journals  )"
KTEMPPOR,KTP,Temporary portuguese lists,Fixed Assets,KPO,,,
LABELPRN,LBP,Label printing,Stock,,,,"FACILITY  (Sites  ) , AREPORT  (Report dictionary  ) , ITMMASTER  (Products  ) , LPN  (  )"
LAYOUTFAS,LOF,Expenses,Fixed Assets,,Fixed assets,Fixed Asset,
LEABILBOOK,LBB,Lease contract schedules,Fixed Assets,LEA,,,
TDSPRV,TPR,Fee total/service supplier,Financials,DAS,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , HONPRV  (Service suppliers  )"
LEAD,LDS,Leads,CRM activities,,Customer relation,Customer relations 1,
TMPCNVECAR,TCE,Exch. rate temporary table,Financials,,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  )"
LEASE,LEA,Lease contracts,Fixed Assets,LEA,,,
LNKCPTABD,LCD,ABELX3 acc link detail,Fixed Assets,,,,
LNKCPTABX3,LCA,ABELX3 acc link,Fixed Assets,,,,
LOCALIZAT,LOC,Location,Fixed Assets,,,,
MACWARREQ,MWR,Warranty request archive,Common Data,,,,"CONTSERV  (Service contract  ) , MACHINES  (Installed base  ) , WARREQUEST  (Warranty requests  )"
MAILXML,MXL,Mass mailing XML,Common Data,,,,
MARASSDEF,MAD,Content of sectors,CRM activities,,,,
MARASSREP,MAR,Representative portfolio,CRM activities,,,,
PAYFRM,FRM,Payment slips,A/P-A/R accounting,,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BANK  (Bank accounts  ) , TABPAYTYP  (Payment types  )"
MARDEF,MDF,Definitions of sectors,CRM activities,,,,
POOL,POO,Banking pool,A/P-A/R accounting,,Accounting,Payment,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BANK  (Bank accounts  )"
MARDEFVAL,MDV,Criteria details,CRM activities,,,,
RCRINVOICE,RCH,Recurring invoices,A/P-A/R accounting,,,,"COMPANY  (Company  ) , FACILITY  (Sites  )"
MARREPSEC,MRS,Allocation of sectors,CRM activities,,,,
MARSCT,MST,Market sectors,CRM activities,,,,
MATCHCODE,MTC,Match letters to use,Financials,,,,"BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  )"
MATCSTW,MAW,Material calculation,Common Data,,,,"FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , ITMFACILIT  (Products-sites  )"
PORDERC,POC,Cumulative POs before returns,Purchasing,,Purchasing,Cumulative Purchase Orders,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , BPCARRIER  (Carriers  ) , INCOTERM  (Incoterms  )"
PQUOTAT,PQH,RFQs,Purchasing,,Purchasing,Request For Quotations,"COMPANY  (Company  ) , FACILITY  (Sites  )"
PQUOTATD,PQD,RFQ product detail,Purchasing,,Purchasing,Request For Quotations,"COMPANY  (Company  ) , FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  )"
MESPAR,MPA,MES setup,Manufacturing,,,,"AOBJEXT  (Import/export templates  ) , TABFOR  (Formula table  )"
PREQUIS,PSH,Purchase requests,Purchasing,,Purchasing,Purchase Requests,"COMPANY  (Company  ) , FACILITY  (Sites  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , PIMPL  (  )"
MFCDETPRT,MCP,Material detail,Common Data,,,,"FACILITY  (Sites  ) , ITMMASTER  (Products  ) , ITMFACILIT  (Products-sites  )"
PRESP,PPH,RFQ responses,Purchasing,,Purchasing,Request For Quotations,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , PRICSTRUCT  (Price structure (cust/supp)  )"
MFCMAT,MCC,Material detail,Common Data,,Manufacturing,Production Cost Calculation,"FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , ITMFACILIT  (Products-sites  )"
MFCNAT,MCN,Nature detail - PC,Common Data,,Manufacturing,Production Cost Calculation,"FACILITY  (Sites  ) , ITMFACILIT  (Products-sites  ) , OVENAT  (Overhead category  )"
SCOITM,SCI,Subcontract order,Purchasing,,Purchasing,External Orders,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , STOLOC  (Locations  ) , PPREASON  (Purchase price reasons  )"
MFCSCRAP,MCS,Scrap cost,Manufacturing,,Manufacturing,Production Cost Calculation,"FACILITY  (Sites  ) , ITMFACILIT  (Products-sites  )"
SCOMAT,SCM,Order sub-contract materials,Purchasing,,Purchasing,External Orders,"COMPANY  (Company  ) , FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , STOLOC  (Locations  ) , PPREASON  (Purchase price reasons  )"
MFCTYPREL,MTR,Cost comparison,Common Data,,,,
SCOSRV,SCS,Order sub-contract services,Purchasing,,Purchasing,External Orders,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , PPREASON  (Purchase price reasons  )"
MFCWST,MCW,Operation detail,Common Data,,Manufacturing,Production Cost Calculation,"FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , ITMFACILIT  (Products-sites  )"
MFGANL,MFA,WO analysis,Manufacturing,,,,"FACILITY  (Sites  ) , ITMMASTER  (Products  )"
MFGCOST,MFC,Cost price,Common Data,,Manufacturing,Production Cost Calculation,"FACILITY  (Sites  ) , PIMPL  (  ) , TABBOMALT  (BOM codes  ) , ITMFACILIT  (Products-sites  ) , TABROUALT  (BOM routings  )"
MFGHEAD,MFG,Work order - header,Manufacturing,,Manufacturing,"Manufacturing Orders,Manufacturing Tracking,Production Cost Calculation","FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , MTOHEAD  (MTO network  ) , TABROUALT  (BOM routings  ) , ROUTING  (Routings - header  )"
SPACKD,SPD,Delivery package detail,Stock,,Sales,Sales Deliveries,"COMPANY  (Company  ) , FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , TABPACKAGE  (Packaging table  )"
STJTMP,SJT,Interface - stock journal,Stock,,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , GAUTACE  (Automatic journals  ) , ITMMASTER  (Products  )"
STKMVTADJ,SMA,Cost adjustment,Stock,,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , ITMMASTER  (Products  ) , ITMCATEG  (Product category  )"
MFGITMTRK,MKI,Manufacture tracking - products,Manufacturing,,Manufacturing,Manufacturing Tracking,"FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , TABUNIT  (Table of units of measure  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , TABBOMALT  (BOM codes  ) , LPN  (  )"
STKREGWRK,SRW,Cost adjustment,Stock,,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , ITMMASTER  (Products  )"
MFGMAT,MFM,Work order - materials,Manufacturing,,Manufacturing,"Manufacturing Orders,Manufacturing Tracking,Production Cost Calculation","FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , STOLOC  (Locations  )"
MFGMATTRK,MKM,Manufacture tracking - materia,Manufacturing,,Manufacturing,Manufacturing Tracking,"FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , TABUNIT  (Table of units of measure  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , STOLOC  (Locations  ) , TABBOMALT  (BOM codes  ) , ITMFACILIT  (Products-sites  )"
MFGOPE,MFO,Work order - operations,Manufacturing,,Manufacturing,"Manufacturing Orders,Manufacturing Tracking,Production Cost Calculation","FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  )"
MFGOPETRK,MKO,Manufacture tracking - operati,Manufacturing,,Manufacturing,Manufacturing Tracking,"FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , BPSUPPLIER  (Suppliers  ) , PIMPL  (  ) , ITMMASTER  (Products  )"
MFGPRN,MFP,Work orders - documents,Manufacturing,,,,"FACILITY  (Sites  ) , AREPORT  (Report dictionary  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  )"
MFGVERSION,MFV,MFG version change,Manufacturing,,,,
MFGWIP,MWH,WIP valuation - header,Common Data,,,,"FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , TABBOMALT  (BOM codes  ) , TABROUALT  (BOM routings  ) , ROUTING  (Routings - header  )"
MKGLEVEL,MKL,Level,CRM activities,,,,
MKGOPG,MOG,Target/operations relations,CRM activities,,,,
MKGQUR,MQR,Marketing targets,CRM activities,,,,
MKGQURPPL,MQP,Intermediate populations,CRM activities,,,,
MMSPAR,MMS,MMS setup,Common Data,,,,"GDIE  (Dimension types  ) , TABFOR  (Formula table  ) , PIVOTS  (Pivots  )"
MODSCALE,MODL,Weighing scale templates,Manufacturing,MWM,,,MODSCALE  (Weighing scale templates  )
MTOHEAD,MTO,MTO network,Common Data,,,,PIMPL  (  )
MTOLINK,MLK,Demand/resource assignments,Common Data,,,,"FACILITY  (Sites  ) , MTOHEAD  (MTO network  ) , ITMFACILIT  (Products-sites  )"
PERIOD,PER,Periods,Common Data,,,,COMPANY  (Company  )
RITMVT,RTM,Withholding movements,Common Data,KIT,,,"COMPANY  (Company  ) , BPARTNER  (Business partner  ) , RITENZIONE  (Table of withholding codes  )"
NOTCATEG,NTG,Note category,Common Data,,,,NOTCATEG  (Note category  )
NOTE,NTS,Notes,Common Data,,,,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , ITMMASTER  (Products  ) , NOTCATEG  (Note category  )"
TABACCINT,TCI,Intercompany account mapping,Common Data,INTCO,,,"COMPANY  (Company  ) , FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  )"
NRYPAR,NRY,ENERGY setup,Financials,FAL,,,
NUMCAI,NCA,CAI assignment,Common Data,KAG,,,
OMMRESULT,MRE,Merge data,CRM activities,,,,
OMMRPT,OMR,Mailing report,CRM activities,,,,
OPERATIONS,OPS,Load in progress,Manufacturing,,Manufacturing,"Manufacturing Orders,Master Planning Schedule","FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , BPSUPPLIER  (Suppliers  ) , PIMPL  (  ) , ITMMASTER  (Products  )"
ORDCOMP,DOO,Service caller,Common Data,,,,BPARTNER  (Business partner  )
ORDCOV,ORC,WIP consideration history,Stock,,,,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , ITMFACILIT  (Products-sites  )"
RBKBELDET,RBD,Belgian bank statement detail,A/P-A/R accounting,KBE,,,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , GACCOUNT  (Accounts  ) , GCOA  (Chart of accounts  ) , TABPAYTYP  (Payment types  )"
ORDERS,ORD,WIP,Common Data,,"Manufacturing,Purchasing","Manufacturing Orders,Master Planning Schedule,Purchase Requests,External Orders","FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , MTOHEAD  (MTO network  ) , TABBOMALT  (BOM codes  )"
SCOTRK,SCK,Sub-contract tracking,Purchasing,,,,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , PIMPL  (  ) , ITMMASTER  (Products  )"
ORDOOPAR,ORO,APS setup,Manufacturing,,,,PIVOTS  (Pivots  )
ORDOPPAR,ORP,PREACTOR parameters,Manufacturing,,,,PIVOTS  (Pivots  )
OVENAT,ONA,Overhead category,Common Data,,,,"GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  )"
PAREVT,PVT,Parameterisation of events,Fixed Assets,,,,
PAREVTD,PVD,Parameterisation of events,Fixed Assets,,,,
PARFLUX,PFL,Parametn of funds(header),Fixed Assets,,,,
PARFLUXDET,PFD,Parametn of funds(detail),Fixed Assets,,,,
PARJAL,PJA,Scheduling parameters,Manufacturing,,Manufacturing,Master Planning Schedule,FACILITY  (Sites  )
PARLDAP,LDA,Expense asset link parameter,Fixed Assets,,,,
PARMRP,PCB,Requirements parameters,Stock,,Manufacturing,Master Planning Schedule,"FACILITY  (Sites  ) , TABBOMALT  (BOM codes  ) , TABWEEDIA  (Weekly structures  )"
PARMTO,PTO,Assignment rules,Common Data,,,,
STOACCPAR,SAC,Actng. interface parameter,Stock,,Stock,Stock,FACILITY  (Sites  )
PARSTALIG,PSL,Statistical report line parameters,Supervisor,,,,PARSTA2  (Statistical parameters  )
STOALL,STA,Allocations,Stock,,,,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , ITMMASTER  (Products  )"
STOCK,STO,Stock,Stock,,Manufacturing,Master Planning Schedule,"FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , TABUNIT  (Table of units of measure  ) , PIMPL  (  ) , STOLOC  (Locations  ) , ITMFACILIT  (Products-sites  ) , LPN  (  ) , TABLOCTYP  (Location type table  )"
PARTAXUSA,PTU,American tax parameters,Common Data,,,,
STOCOST,STP,Stock FIFO cost,Stock,,Stock,Stock,"FACILITY  (Sites  ) , ITMMASTER  (Products  )"
PARTRZL,TZL,Transit fields paramtn,Fixed Assets,,,,
STOJOUOVE,SJO,Ovhds stock movements,Stock,,,,"FACILITY  (Sites  ) , ITMFACILIT  (Products-sites  )"
PARTRZLDET,TZD,Transit flds paramtn detl,Fixed Assets,,,,
STOJOUVAL,SJV,Stock movement values,Stock,,,,"FACILITY  (Sites  ) , ITMFACILIT  (Products-sites  )"
STOLOC,STC,Locations,Stock,,"Manufacturing,Sales","Technical Data,Sales Deliveries","FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , TABUNIT  (Table of units of measure  ) , TABLOCTYP  (Location type table  )"
STOLOCAFF,STF,Bin assignment,Stock,,Stock,Stock,"FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  )"
PAYACCNUM,PAN,Accounting payment entry,A/P-A/R accounting,,Accounting,Payment,
STOLOCRES,SWL,Location work,Stock,,,,"FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , STOLOC  (Locations  )"
PAYACCNUMD,PMD,Accounting payment entry,A/P-A/R accounting,,,,GTYPACCENT  (Document types  )
STOMVTCOST,SMC,Link documents / FIFO stack,Stock,,,,"FACILITY  (Sites  ) , ITMMASTER  (Products  )"
STOPAR,STE,Stock parameters,Stock,,Stock,Stock,"FACILITY  (Sites  ) , ITMCATEG  (Product category  ) , TABSAFSTO  (Safety stock factor  )"
STOPRELIS,PRL,Shipment preparation list,Stock,,,,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , BPCARRIER  (Carriers  ) , TABPACKAGE  (Packaging table  ) , TABSDHTYP  (Table types deliveries  )"
PAYMENTA,PYA,Analytical payment lines,A/P-A/R accounting,,Accounting,Payment,"CACCE  (Dimensions  ) , GDIE  (Dimension types  )"
STOPRELISW,PLW,Work preparation lists,Stock,,,,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , BPCARRIER  (Carriers  ) , TABPACKAGE  (Packaging table  ) , TABSDHTYP  (Table types deliveries  )"
STOPREW,PRW,Work preparation sheet,Stock,,,,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , BPCARRIER  (Carriers  ) , TABMODELIV  (Delivery methods  ) , BPDLVCUST  (Ship-to customer  ) , TABSDHTYP  (Table types deliveries  )"
STOQLYD,QLD,Quality control detail,Stock,,,,"FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , STOLOC  (Locations  ) , LPN  (  ) , TABLOCTYP  (Location type table  ) , QLYCRD  (Technical sheets  )"
STOQUAL,STQ,Quality control,Stock,,,,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , QLYCRD  (Technical sheets  )"
STOREO,REO,Reorder,Stock,,,,"FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  )"
PAYORDER,PYO,Prepayments,Common Data,,,,
STOSER,STS,Serial numbers,Stock,,,,"FACILITY  (Sites  ) , ITMMASTER  (Products  ) , BPDLVCUST  (Ship-to customer  ) , BPCUSTOMER  (Customers  )"
PAYPTD,PYP,Payment order lines/receipt,A/P-A/R accounting,KAG,,,
STOSRG,SRG,Storage,Stock,,Stock,Stock,"FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , STOLOC  (Locations  )"
PAYPTH,PAH,Payment order header/receipts,A/P-A/R accounting,KAG,,,
STOSRGW,SGW,Storage (details),Stock,,,,"FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , TABUNIT  (Table of units of measure  ) , STOLOC  (Locations  ) , LPN  (  ) , TABLOCTYP  (Location type table  )"
PAYPTHDOC,PAO,Payment orders/receipt documents,A/P-A/R accounting,KAG,,,
STOSYNW,SYW,Stock resynch work,Stock,,,,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , STOLOC  (Locations  )"
PAYPTHRIT,PRI,Withholdings,A/P-A/R accounting,KAG,,,
STOTRK,STR,Traceability,Stock,,,,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  )"
STOTRKWRK,SKW,Traceability workfile,Stock,,,,"FACILITY  (Sites  ) , ITMMASTER  (Products  )"
PAYVAT,PYHV,Cash VAT (Portugal),Financials,KPO,,,"BPARTNER  (Business partner  ) , GTYPACCENT  (Document types  ) , TABVAT  (Tax code table  )"
TABLOCTYP,TLO,Location type table,Stock,,Stock,Stock,"FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  )"
TABPRECOD,PRC,Preparation code,Stock,,,,FACILITY  (Sites  )
TABWIPSTO,TWS,Locked stock quantities,Stock,,,,"FACILITY  (Sites  ) , ITMMASTER  (Products  )"
PDPDET,PDD,MPS calculation detail,Manufacturing,,Manufacturing,Master Planning Schedule,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , PIMPL  (  ) , ITMMASTER  (Products  ) , TABBOMALT  (BOM codes  )"
PDPHEA,PDH,MPS calculation header,Manufacturing,,Manufacturing,Master Planning Schedule,"FACILITY  (Sites  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , TABBOMALT  (BOM codes  )"
PHYBUI,BUI,Building,Fixed Assets,PHY,,,
PHYELT,PHY,Physical assets,Fixed Assets,PHY,Fixed assets,Fixed Asset,
PHYLCT,LCT,Localizations,Fixed Assets,PHY,,,
PHYMVT,PMVT,Physical assets - movements,Fixed Assets,PHY,,,
PITCOUNT,PCT,Point counter,Common Data,,,,"BPARTNER  (Business partner  ) , CONTSERV  (Service contract  ) , FAMPB  (Skill group  ) , MACHINES  (Installed base  )"
PITDEB,PDB,Points debit,Common Data,,,,"BPARTNER  (Business partner  ) , ITMMASTER  (Products  ) , FAMPB  (Skill group  )"
PITDEBD,PBD,Point debits (line),Common Data,,,,"BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , ITMMASTER  (Products  ) , FAMPB  (Skill group  )"
PIVOTS,PIT,Pivots,Common Data,,,,
PLGMKG,PLG,Marketing schedule management,CRM activities,,,,
PLGOPG,PLO,Marketing schedule management,CRM activities,,,,
PLMPAR,PPA,PLM setup,Common Data,,,,"PIVOTS  (Pivots  ) , TABBOMALT  (BOM codes  )"
ROUOPE,ROO,Routing - operations,Manufacturing,,Manufacturing,"Technical Data,Master Planning Schedule,Standard Cost Calculation","FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , TABFOR  (Formula table  ) , ITMMASTER  (Products  )"
ROUOPESTD,ROT,Standard operations,Manufacturing,,,,"FACILITY  (Sites  ) , BPARTNER  (Business partner  ) , TABUNIT  (Table of units of measure  ) , TABFOR  (Formula table  ) , ITMMASTER  (Products  ) , QLYCRD  (Technical sheets  ) , TABWRKCTR  (Work center groups  )"
ROUSCD,ROS,Routing - scheduling operation,Manufacturing,,Manufacturing,"Technical Data,Master Planning Schedule","FACILITY  (Sites  ) , ITMMASTER  (Products  )"
RPLWST,RPW,Alternate work centers,Manufacturing,,,,"FACILITY  (Sites  ) , TABWRKCTR  (Work center groups  )"
SCHEDULING,SCH,Work order scheduling,Manufacturing,,Manufacturing,"Manufacturing Orders,Master Planning Schedule","FACILITY  (Sites  ) , ITMMASTER  (Products  )"
PPREASON,PPR,Purchase price reasons,Common Data,,Purchasing,"Normal Purchase Orders,Cumulative Purchase Orders,Purchase Invoice,Purchase Price",
STATIONBOX,SBX,Location/booth configuration,Manufacturing,MWM,,,"FACILITY  (Sites  ) , WAREHOUSE  (Warehouses  ) , QLYCRD  (Technical sheets  ) , STATION  (Weighing location  )"
TABCABCUT,CUT,BC division rules,Manufacturing,MWM,,,FACILITY  (Sites  )
PPRICFICH,PPF,Supplier prices (records),Common Data,,Purchasing,Purchase Price,PPRICCONF  (Supplier pricing parameters  )
TANKS,TKS,Tanks,Manufacturing,MWM,,,"FACILITY  (Sites  ) , ITMMASTER  (Products  ) , STOLOC  (Locations  ) , USERGUIDES  (User guides  )"
TANKSGATES,TGT,Gate tank assignments,Manufacturing,MWM,,,FACILITY  (Sites  )
PREQUISA,PSA,Link purchase requests,Purchasing,,,,TABUNIT  (Table of units of measure  )
PREQUISO,PSO,Link purchase requests,Purchasing,,Purchasing,Purchase Requests,TABUNIT  (Table of units of measure  )
PRICSTRUCT,PRS,Price structure (cust/supp),Common Data,,"Purchasing,Sales","Purchase Price,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice,Sales Returns,Sales Price",SFOOTINV  (Invoicing elements  )
PRJFAS,PJF,Assets,Financials,GDFAS,,,PROJET  (Project  )
PROPLN,PLP,Production plan,Fixed Assets,,,,
PROPLNH,PLH,Production plan,Fixed Assets,,,,
PRTSCRWRK,PSW,Screen print work,Supervisor,,,,
PSEPLN,PSE,Seasonality plan,Fixed Assets,PSE,,,
